run_id,model,method,budget_N,rho,seed,aligned_accuracy,bias_conflict_accuracy,pairwise_flip_rate,counterfactual_consistency,worst_group_accuracy,train_minutes,gpu_minutes,n80_pass,notes
lenet_erm_N500_seed1,lenet,erm,500,0.99,1,0.9973999857902527,0.8226777911186218,0.17595554888248444,0.5156999826431274,0.27155598998069763,1.6916881630818048,1.6916881630818048,False,source=autodl_rtx4090_cuda12_4
lenet_erm_N500_seed2,lenet,erm,500,0.99,2,0.998199999332428,0.7965777516365051,0.2027111053466797,0.46549999713897705,0.1550387591123581,1.896512613693873,1.896512613693873,False,source=autodl_rtx4090_cuda12_4
lenet_erm_N500_seed3,lenet,erm,500,0.99,3,0.9986000061035156,0.8449666500091553,0.15424443781375885,0.5713000297546387,0.28197672963142395,1.983108143011729,1.983108143011729,False,source=autodl_rtx4090_cuda12_4
lenet_erm_N500_seed4,lenet,erm,500,0.99,4,0.9976000189781189,0.8747777938842773,0.12421111017465591,0.6316999793052673,0.14271555840969086,1.7024324707686902,1.7024324707686902,False,source=autodl_rtx4090_cuda12_4
lenet_erm_N5000_seed0,lenet,erm,5000,0.9,0,0.9948999881744385,0.9615111351013184,0.03522222116589546,0.906000018119812,0.8449692130088806,1.5866995498538017,1.5866995498538017,True,source=autodl_rtx4090_cuda12_4
lenet_erm_N5000_seed1,lenet,erm,5000,0.9,1,0.9944000244140625,0.9616777896881104,0.034122221171855927,0.9078999757766724,0.7906976938247681,1.3845052746435007,1.3845052746435007,True,source=autodl_rtx4090_cuda12_4
lenet_erm_N5000_seed2,lenet,erm,5000,0.9,2,0.9954000115394592,0.9680222272872925,0.028777778148651123,0.9200000166893005,0.8706225752830505,1.2332253227631251,1.2332253227631251,True,source=autodl_rtx4090_cuda12_4
lenet_erm_N5000_seed3,lenet,erm,5000,0.9,3,0.9961000084877014,0.967544436454773,0.029866667464375496,0.9182000160217285,0.826488733291626,0.8931060979763666,0.8931060979763666,True,source=autodl_rtx4090_cuda12_4
lenet_erm_N5000_seed4,lenet,erm,5000,0.9,4,0.993399977684021,0.958466649055481,0.03700000047683716,0.8937000036239624,0.7532210350036621,0.749499773234129,0.749499773234129,True,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N0_seed0,lenet,groupdro,0,1.0,0,1.0,0.10143333673477173,0.8985666632652283,0.0,0.0,1.7899359218776225,1.7899359218776225,False,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N0_seed1,lenet,groupdro,0,1.0,1,0.9998000264167786,0.05586666613817215,0.9441111087799072,0.0,0.0,1.3782070140043894,1.3782070140043894,False,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N0_seed2,lenet,groupdro,0,1.0,2,1.0,0.04063333198428154,0.9593666791915894,0.0,0.0,1.4696649347742399,1.4696649347742399,False,source=autodl_rtx4090_cuda12_4
