run_id,status,model,method,budget_N,seed,data_seed,train_seed,start_time,end_time,device,config_path,checkpoint_path,metrics_path,notes
lenet_dfr_N5000_seed3,completed,lenet,dfr,5000,3,3,3,,2026-07-12T01:47:08+02:00,cuda,outputs_final/lenet/dfr/N5000/seed3/config_resolved.yaml,,outputs_final/lenet/dfr/N5000/seed3/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_dfr_N5000_seed4,completed,lenet,dfr,5000,4,4,4,,2026-07-12T01:47:26+02:00,cuda,outputs_final/lenet/dfr/N5000/seed4/config_resolved.yaml,,outputs_final/lenet/dfr/N5000/seed4/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N0_seed0,completed,lenet,erm,0,0,0,0,,2026-07-11T23:17:58+02:00,cuda,outputs_final/lenet/erm/N0/seed0/config_resolved.yaml,outputs_final/lenet/erm/N0/seed0/checkpoint.pt,outputs_final/lenet/erm/N0/seed0/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N0_seed1,completed,lenet,erm,0,1,1,1,,2026-07-11T23:19:36+02:00,cuda,outputs_final/lenet/erm/N0/seed1/config_resolved.yaml,outputs_final/lenet/erm/N0/seed1/checkpoint.pt,outputs_final/lenet/erm/N0/seed1/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N0_seed2,completed,lenet,erm,0,2,2,2,,2026-07-11T23:21:32+02:00,cuda,outputs_final/lenet/erm/N0/seed2/config_resolved.yaml,outputs_final/lenet/erm/N0/seed2/checkpoint.pt,outputs_final/lenet/erm/N0/seed2/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N0_seed3,completed,lenet,erm,0,3,3,3,,2026-07-11T23:23:04+02:00,cuda,outputs_final/lenet/erm/N0/seed3/config_resolved.yaml,outputs_final/lenet/erm/N0/seed3/checkpoint.pt,outputs_final/lenet/erm/N0/seed3/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N0_seed4,completed,lenet,erm,0,4,4,4,,2026-07-11T23:24:47+02:00,cuda,outputs_final/lenet/erm/N0/seed4/config_resolved.yaml,outputs_final/lenet/erm/N0/seed4/checkpoint.pt,outputs_final/lenet/erm/N0/seed4/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N100_seed0,completed,lenet,erm,100,0,0,0,,2026-07-11T23:35:04+02:00,cuda,outputs_final/lenet/erm/N100/seed0/config_resolved.yaml,outputs_final/lenet/erm/N100/seed0/checkpoint.pt,outputs_final/lenet/erm/N100/seed0/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N100_seed1,completed,lenet,erm,100,1,1,1,,2026-07-11T23:36:51+02:00,cuda,outputs_final/lenet/erm/N100/seed1/config_resolved.yaml,outputs_final/lenet/erm/N100/seed1/checkpoint.pt,outputs_final/lenet/erm/N100/seed1/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N100_seed2,completed,lenet,erm,100,2,2,2,,2026-07-11T23:38:39+02:00,cuda,outputs_final/lenet/erm/N100/seed2/config_resolved.yaml,outputs_final/lenet/erm/N100/seed2/checkpoint.pt,outputs_final/lenet/erm/N100/seed2/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N100_seed3,completed,lenet,erm,100,3,3,3,,2026-07-11T23:40:19+02:00,cuda,outputs_final/lenet/erm/N100/seed3/config_resolved.yaml,outputs_final/lenet/erm/N100/seed3/checkpoint.pt,outputs_final/lenet/erm/N100/seed3/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N100_seed4,completed,lenet,erm,100,4,4,4,,2026-07-11T23:41:36+02:00,cuda,outputs_final/lenet/erm/N100/seed4/config_resolved.yaml,outputs_final/lenet/erm/N100/seed4/checkpoint.pt,outputs_final/lenet/erm/N100/seed4/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N1000_seed0,completed,lenet,erm,1000,0,0,0,,2026-07-12T00:00:14+02:00,cuda,outputs_final/lenet/erm/N1000/seed0/config_resolved.yaml,outputs_final/lenet/erm/N1000/seed0/checkpoint.pt,outputs_final/lenet/erm/N1000/seed0/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N1000_seed1,completed,lenet,erm,1000,1,1,1,,2026-07-12T00:02:12+02:00,cuda,outputs_final/lenet/erm/N1000/seed1/config_resolved.yaml,outputs_final/lenet/erm/N1000/seed1/checkpoint.pt,outputs_final/lenet/erm/N1000/seed1/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N1000_seed2,completed,lenet,erm,1000,2,2,2,,2026-07-12T00:03:55+02:00,cuda,outputs_final/lenet/erm/N1000/seed2/config_resolved.yaml,outputs_final/lenet/erm/N1000/seed2/checkpoint.pt,outputs_final/lenet/erm/N1000/seed2/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N1000_seed3,completed,lenet,erm,1000,3,3,3,,2026-07-12T00:05:37+02:00,cuda,outputs_final/lenet/erm/N1000/seed3/config_resolved.yaml,outputs_final/lenet/erm/N1000/seed3/checkpoint.pt,outputs_final/lenet/erm/N1000/seed3/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N1000_seed4,completed,lenet,erm,1000,4,4,4,,2026-07-12T00:07:35+02:00,cuda,outputs_final/lenet/erm/N1000/seed4/config_resolved.yaml,outputs_final/lenet/erm/N1000/seed4/checkpoint.pt,outputs_final/lenet/erm/N1000/seed4/metrics.json,source=autodl_rtx4090_cuda12_4
