model,method,reference_method,budget_N,n_pairs,aligned_delta_mean,aligned_delta_sd,conflict_delta_mean,conflict_delta_sd,flip_delta_mean,flip_delta_sd,worst_group_delta_mean,worst_group_delta_sd
resnet18_mnist,dfr,erm,1000,5,0.0010599970817565918,0.001814677865601525,0.028153324127197267,0.023276754449528737,-0.028033334016799926,0.023191862082169903,0.2995181754231453,0.2847447856794306
resnet18_mnist,dfr,erm,2500,5,0.0003799915313720703,0.0005403849062299016,0.015762245655059813,0.012050355054812606,-0.015693334117531776,0.012187764805414883,0.16935653686523439,0.12144756521927251
resnet18_mnist,dfr,erm,5000,5,0.0009199976921081543,0.0009602320140589171,0.008766663074493409,0.004446685026433825,-0.007991110906004906,0.0038828007494225384,0.13662484884262086,0.10634195676095248
lenet,groupdro,erm,0,5,-1.9991397857666014e-05,4.4702124574984876e-05,-0.0034199990332126617,0.0058910670251010365,0.003417789936065674,0.005890285931608512,0.0,0.0
lenet,groupdro,erm,50,5,-0.0005600094795227051,0.0007368705114329336,0.17822222113609315,0.045388786655111174,-0.17841554284095765,0.04536897236544373,0.006611516582779586,0.009017413992221574
lenet,groupdro,erm,100,5,-0.0017199754714965821,0.001251799540677967,0.18193553686141967,0.04528101507386376,-0.18315777480602263,0.045201080420545534,0.06065040398389101,0.028975934397228075
lenet,groupdro,erm,250,5,-0.004060006141662598,0.002150124881657693,0.1453266739845276,0.03167814732508817,-0.1478422239422798,0.03246914034253703,0.5124688835814595,0.11817747196222422
lenet,groupdro,erm,500,5,-0.003000020980834961,0.001623271460083229,0.08621110916137695,0.032639412976218765,-0.0879777729511261,0.032204430842199525,0.3362129807472229,0.09248448805171956
lenet,groupdro,erm,1000,5,-0.0031000256538391115,0.001197905900880999,0.048951125144958495,0.015286697772278403,-0.05093555599451065,0.014984298873589787,0.2127802073955536,0.13937172216674068
lenet,groupdro,erm,2500,5,-0.0029199838638305662,0.001657401595981192,0.036813342571258546,0.009832770345220274,-0.039544444531202316,0.009369857433055299,0.21831201314926146,0.07466548908939437
lenet,groupdro,erm,5000,5,-0.006860005855560303,0.004870094649190865,0.012308859825134277,0.007761697400353542,-0.018453333340585232,0.00390700067790672,0.08360916376113892,0.0795233631535258
resnet18_mnist,groupdro,erm,0,5,0.010440003871917725,0.02334455834296904,-0.02218222329393029,0.08097980104498022,0.023733341693878175,0.08441020004059714,0.0,0.0
resnet18_mnist,groupdro,erm,50,5,-0.0042999863624572756,0.00893673646165019,0.2394911140203476,0.10644517382564246,-0.23993110060691833,0.10652204822699429,0.001980197988450527,0.004427857311083722
resnet18_mnist,groupdro,erm,100,5,0.02148001194000244,0.04736822195913491,0.2807688772678375,0.08962216318026477,-0.2880666762590408,0.09465585517886381,0.09370185965672136,0.06931566855972693
resnet18_mnist,groupdro,erm,250,5,0.0007600188255310059,0.002338385902117491,0.19657554626464843,0.04486916899765545,-0.1968044400215149,0.04480216321007765,0.44876358659239485,0.07442682844948846
resnet18_mnist,groupdro,erm,500,5,0.0010000109672546388,0.003174122007918443,0.07283109426498413,0.03154507772504951,-0.07254888862371445,0.03044588875671864,0.42128386795520784,0.17862345068149285
resnet18_mnist,groupdro,erm,1000,5,0.0007400035858154297,0.0018875837755556184,0.06373332738876343,0.028316263923226996,-0.06387111134827136,0.028118377913111028,0.4444515064358711,0.3021218910178433
resnet18_mnist,groupdro,erm,2500,5,-0.0003000020980834961,0.0008000060920040877,0.03058890104293823,0.014680717839492636,-0.031153334118425847,0.014530654544174154,0.2288912057876587,0.13921999624050974
resnet18_mnist,groupdro,erm,5000,5,0.0006600141525268555,0.0011970939448055057,0.01694222688674927,0.006819300198023729,-0.01646444424986839,0.006441035874593109,0.1715032458305359,0.12445426217421357
